yie	阿尔山伊尔施机场
aku	阿克苏机场
aat	阿勒泰机场
ngq	阿里昆莎机场
aqg	安庆天柱山机场
ava	安顺黄果树机场
aog	鞍山腾鳌机场
mfm	澳门国际机场
rlk	巴彦淖尔天吉泰机场
nbs	长白山机场
aeb	百色田阳机场
bav	包头二里半机场
bsd	保山云瑞机场
bhy	北海福成机场
nay	北京南苑机场
bjs	北京首都国际机场
bfj	毕节飞雄机场
bpl	博乐新疆机场
bpx	昌都邦达机场
cgd	常德桃花源机场
czx	常州奔牛国际机场
chg	朝阳机场
ctu	成都双流国际机场
juh	池州九华山机场
cif	赤峰玉龙机场
dax	达县机场
dlu	大理荒草坝机场
dlc	大连周水子国际机场
dqa	大庆萨尔图机场
dat	大同云冈机场
jgd	加格达奇机场
ddg	丹东浪头机场
dcy	稻城亚丁机场
lum	芒市机场
dig	迪庆香格里拉机场
doy	东营胜利机场
dnh	敦煌机场
dsn	鄂尔多斯机场
enh	恩施许家坪机场
erl	二连浩特赛乌素机场
fuo	佛山沙堤机场
foc	福州长乐国际机场
fug	阜阳西关机场
gxh	夏河甘南机场
kow	赣州黄金机场
goq	格尔木机场
gyu	固原六盘山机场
gys	广元盘龙机场
can	广州新白云国际机场
kwe	贵阳龙洞堡国际机场
kwl	桂林两江国际机场
khh	高雄机场
hrb	哈尔滨太平国际机场
hmi	哈密市哈密机场
hak	海口美兰国际机场
hdg	邯郸机场
hgh	杭州萧山国际机场
hfe	合肥新桥国际机场
htn	和田市和田机场
hek	黑河机场
het	呼和浩特白塔国际机场
hld	海拉尔东山国际机场
hjj	怀化芷江机场
hia	淮安涟水机场
txn	黄山屯溪机场
hun	花莲机场
jxa	鸡西兴凯湖机场
jgs	井冈山机场
tna	济南遥墙国际机场
jng	济宁曲阜机场
jmu	佳木斯东郊机场
jgn	嘉峪关机场
jic	金昌金川机场
yiw	义乌机场
jnz	锦州小岭子机场
jdz	景德镇机场
jiu	九江庐山机场
jzh	九寨沟黄龙机场
khg	喀什市喀什机场
kgt	康定机场
kry	克拉玛依机场
kca	库车机场
krl	库尔勒机场
kmg	昆明长水国际机场
lxa	拉萨贡嘎国际机场
lhw	兰州中川机场
hzh	黎平机场
ljg	丽江机场
lyg	连云港白塔埠机场
lzy	林芝米林机场
lnj	临沧博尚机场
lyi	临沂沭埠岭机场
lzh	柳州白莲机场
lcx	福建龙岩冠豸山机场
lzo	泸州兰田坝机场
llb	荔波机场
mzg	马公机场
lya	洛阳北郊机场
nzh	呼伦贝尔满洲里机场机场
mxz	梅州梅县机场
mig	绵阳南郊机场
ohe	漠河古莲机场
mdg	牡丹江海浪机场
khn	南昌昌北国际机场
nao	南充高坪机场
nkg	南京禄口国际机场
nng	南宁吴圩国际机场
ntg	南通兴东机场
nny	南阳姜营机场
ngb	宁波栎社国际机场
pzi	攀枝花保安营机场
sym	普洱思茅机场
ndg	齐齐哈尔三家子机场
jiq	黔江重庆舟白机场
shp	秦皇岛山海关机场
tao	青岛流亭国际机场
iqn	庆阳机场
juz	衢州机场
jjn	晋江泉州机场
rkz	日喀则和平机场
syx	三亚凤凰国际机场
xmn	厦门高崎国际机场
swa	揭阳潮汕机场
sha	上海虹桥国际机场
pvg	上海浦东国际机场
szx	深圳宝安国际机场
she	沈阳桃仙国际机场
tsa	台北松山国际机场
sjw	石家庄正定国际机场
tcg	塔城民航机场
hyn	台州路桥国际机场
ttt	台东丰年机场
txg	台中清泉岗机场
tyn	太原武宿国际机场
tvs	唐山三女河机场
tcz	腾冲驼峰机场
tsn	天津滨海国际机场
thq	天水麦积山机场
tgo	通辽机场
tpe	台北桃园国际机场
ten	铜仁市铜仁机场
wxn	万州机场
weh	威海大水泊国际机场
wef	潍坊机场
wnz	温州龙湾国际机场
wnh	文山普者黑机场
wua	乌海机场
hlh	乌兰浩特机场
urc	乌鲁木齐地窝堡国际机场
wuz	梧州长洲岛机场
wux	无锡苏南硕放国际机场
wus	武夷山机场
wuh	武汉天河国际机场
sia	西安咸阳国际机场
xic	西昌青山机场
xnn	西宁曹家堡机场
jhg	西双版纳机场
xil	锡林浩特机场
hkg	香港赤鱲角国际机场
xfn	襄阳刘集机场
nlt	那拉提机场
acx	兴义机场
xuz	徐州观音国际机场
ynt	烟台莱山机场
eny	延安二十里铺机场
ynj	延吉朝阳川国际机场
ynz	盐城南洋国际机场
yty	扬州泰州机场
lds	伊春林都机场
yin	伊宁市伊宁机场
ybp	宜宾菜坝机场
yih	宜昌三峡机场
yic	宜春明月山机场
inc	银川河东机场
llf	永州零陵机场
uyn	榆林榆阳机场
yus	玉树巴塘机场
ycu	运城关公机场
zha	湛江机场
dyg	张家界荷花机场
zqz	张家口机场
yzy	张掖机场
cgq	长春龙嘉国际机场
csx	长沙黄花国际机场
cih	长治机场
zat	昭通机场
cgo	郑州新郑国际机场
zhy	中卫沙坡头机场
ckg	重庆江北国际机场
hsn	舟山普陀山机场
zuh	珠海机场
zyi	遵义机场
kjh	凯里黄平机场
axf	左旗巴彦浩特机场
rht	右旗巴丹吉林机场
ejn	额济纳旗桃来机场
llv	吕梁大武机场
hxd	德令哈机场
hzg	汉中城固机场
hpg	神农架红坪机场
tnh	通化三源浦机场
